resident_id,challenge_name,target_metric,enrol_date,status,current_tier,target_value,progress_pct
RESIDENT_01438,Move It Challenge,MVPA Minutes,2026-03-03,Active,Gold,150,64.3
RESIDENT_00653,Move It Challenge,MVPA Minutes,2026-03-25,Active,Silver,150,48.8
RESIDENT_00825,Move It Challenge,MVPA Minutes,2026-03-26,Active,Participant,150,9.7
RESIDENT_01130,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Platinum,30,98.6
RESIDENT_00240,National Steps Challenge,Steps,2026-04-01,Active,Platinum,10000,87.3
RESIDENT_00800,National Steps Challenge,Steps,2026-03-27,Active,Participant,10000,11.1
RESIDENT_01234,National Steps Challenge,Steps,2026-03-22,Active,Gold,10000,67.8
RESIDENT_00195,National Steps Challenge,Steps,2026-03-06,Active,Gold,10000,77.5
RESIDENT_00245,Move It Challenge,MVPA Minutes,2026-03-17,Active,Silver,150,41.8
RESIDENT_00992,Eat Drink Shop Healthy,Healthier Purchases,2026-03-26,Active,Bronze,30,34.2
RESIDENT_01052,Eat Drink Shop Healthy,Healthier Purchases,2026-03-01,Active,Gold,30,75.9
RESIDENT_00275,Eat Drink Shop Healthy,Healthier Purchases,2026-03-01,Active,Silver,30,47.1
RESIDENT_01102,Move It Challenge,MVPA Minutes,2026-03-21,Active,Platinum,150,92.9
RESIDENT_01050,Eat Drink Shop Healthy,Healthier Purchases,2026-04-08,Active,Silver,30,42.1
RESIDENT_00079,Move It Challenge,MVPA Minutes,2026-03-02,Active,Gold,150,64.0
RESIDENT_01234,Move It Challenge,MVPA Minutes,2026-03-25,Active,Silver,150,55.3
RESIDENT_00533,National Steps Challenge,Steps,2026-03-24,Active,Gold,10000,75.1
RESIDENT_00900,Move It Challenge,MVPA Minutes,2026-03-25,Completed,Platinum,150,99.2
RESIDENT_00374,Move It Challenge,MVPA Minutes,2026-04-10,Active,Gold,150,79.0
RESIDENT_00423,Eat Drink Shop Healthy,Healthier Purchases,2026-03-15,Active,Participant,30,7.5
