booking_id,resident_id,event_id,event_name,event_type,event_date,region,booked_flag,attended_flag
BKG003523,RESIDENT_01441,EVT008,Strength & Mobility,Workout Class,2026-06-26,North-East,Y,N
BKG002890,RESIDENT_01168,EVT005,Sundays@thePark,Community Walk,2026-06-10,North-East,Y,N
BKG000364,RESIDENT_00165,EVT006,Aqua Aerobics,Workout Class,2026-06-15,North,Y,N
BKG002163,RESIDENT_00870,EVT003,Zumba Fiesta,Workout Class,2026-05-23,North-East,Y,N
BKG001741,RESIDENT_00716,EVT005,Sundays@thePark,Community Walk,2026-04-30,North-East,Y,N
BKG000308,RESIDENT_00145,EVT005,Sundays@thePark,Community Walk,2026-05-01,East,Y,N
BKG001683,RESIDENT_00687,EVT010,Nutrition Talk,Talk,2026-05-17,West,Y,Y
BKG001189,RESIDENT_00495,EVT008,Strength & Mobility,Workout Class,2026-05-03,East,Y,N
BKG000242,RESIDENT_00107,EVT010,Nutrition Talk,Talk,2026-05-03,Central,Y,Y
BKG000469,RESIDENT_00209,EVT008,Strength & Mobility,Workout Class,2026-04-04,North,Y,N
BKG001421,RESIDENT_00579,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-26,North,Y,Y
BKG001391,RESIDENT_00572,EVT002,HIIT @ CC,Workout Class,2026-06-15,North,Y,Y
BKG003187,RESIDENT_01287,EVT009,Health Screening Drive,Screening,2026-06-25,Central,Y,Y
BKG003060,RESIDENT_01245,EVT008,Strength & Mobility,Workout Class,2026-05-02,Central,Y,Y
BKG002205,RESIDENT_00885,EVT003,Zumba Fiesta,Workout Class,2026-06-28,East,Y,Y
BKG000227,RESIDENT_00102,EVT005,Sundays@thePark,Community Walk,2026-05-21,North-East,Y,Y
BKG002966,RESIDENT_01202,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-21,East,Y,Y
BKG002633,RESIDENT_01066,EVT008,Strength & Mobility,Workout Class,2026-04-05,West,Y,N
BKG001945,RESIDENT_00794,EVT006,Aqua Aerobics,Workout Class,2026-05-08,North,Y,Y
BKG001650,RESIDENT_00675,EVT010,Nutrition Talk,Talk,2026-06-23,Central,Y,Y
BKG001559,RESIDENT_00637,EVT006,Aqua Aerobics,Workout Class,2026-05-20,West,Y,Y
BKG001868,RESIDENT_00770,EVT006,Aqua Aerobics,Workout Class,2026-05-20,West,Y,Y
BKG000622,RESIDENT_00272,EVT004,Brisk Walk @ Park,Community Walk,2026-06-06,North,Y,N
BKG000248,RESIDENT_00110,EVT002,HIIT @ CC,Workout Class,2026-04-07,Central,Y,Y
BKG002867,RESIDENT_01158,EVT005,Sundays@thePark,Community Walk,2026-04-06,North,Y,Y
BKG001801,RESIDENT_00741,EVT003,Zumba Fiesta,Workout Class,2026-04-27,North-East,Y,N
BKG001002,RESIDENT_00422,EVT005,Sundays@thePark,Community Walk,2026-05-29,North,Y,N
BKG000270,RESIDENT_00123,EVT004,Brisk Walk @ Park,Community Walk,2026-04-02,East,Y,Y
BKG001816,RESIDENT_00748,EVT004,Brisk Walk @ Park,Community Walk,2026-04-03,East,Y,Y
BKG002290,RESIDENT_00925,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-15,West,Y,Y
BKG001632,RESIDENT_00667,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-20,East,Y,Y
BKG003368,RESIDENT_01368,EVT009,Health Screening Drive,Screening,2026-04-30,Central,Y,N
BKG002472,RESIDENT_00987,EVT004,Brisk Walk @ Park,Community Walk,2026-06-05,East,Y,N
BKG002031,RESIDENT_00826,EVT004,Brisk Walk @ Park,Community Walk,2026-06-01,Central,Y,Y
BKG001712,RESIDENT_00704,EVT003,Zumba Fiesta,Workout Class,2026-06-13,North-East,Y,N
BKG001152,RESIDENT_00479,EVT005,Sundays@thePark,Community Walk,2026-05-14,Central,Y,Y
BKG000613,RESIDENT_00266,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-02,North,Y,Y
BKG003235,RESIDENT_01308,EVT010,Nutrition Talk,Talk,2026-06-23,North-East,Y,Y
BKG000959,RESIDENT_00404,EVT009,Health Screening Drive,Screening,2026-05-16,Central,Y,N
BKG003558,RESIDENT_01458,EVT010,Nutrition Talk,Talk,2026-05-17,Central,Y,N
BKG000081,RESIDENT_00031,EVT005,Sundays@thePark,Community Walk,2026-04-01,North,Y,Y
BKG001415,RESIDENT_00578,EVT006,Aqua Aerobics,Workout Class,2026-06-16,Central,Y,Y
BKG000314,RESIDENT_00149,EVT007,Weekend Cycling,Community Ride,2026-06-27,West,Y,Y
BKG001586,RESIDENT_00650,EVT001,Sunrise Mass Workout,Mass Workout,2026-05-12,North-East,Y,Y
BKG001698,RESIDENT_00695,EVT009,Health Screening Drive,Screening,2026-06-30,West,Y,Y
BKG001996,RESIDENT_00811,EVT002,HIIT @ CC,Workout Class,2026-04-07,East,Y,Y
BKG001901,RESIDENT_00779,EVT004,Brisk Walk @ Park,Community Walk,2026-04-03,North-East,Y,N
BKG000491,RESIDENT_00222,EVT009,Health Screening Drive,Screening,2026-05-06,North,Y,N
BKG002077,RESIDENT_00839,EVT001,Sunrise Mass Workout,Mass Workout,2026-04-25,West,Y,Y
BKG003561,RESIDENT_01459,EVT007,Weekend Cycling,Community Ride,2026-04-12,North,Y,N
BKG002597,RESIDENT_01051,EVT003,Zumba Fiesta,Workout Class,2026-05-23,North,Y,Y
BKG001572,RESIDENT_00643,EVT010,Nutrition Talk,Talk,2026-05-14,Central,Y,Y
BKG001768,RESIDENT_00730,EVT006,Aqua Aerobics,Workout Class,2026-05-31,West,Y,Y
BKG000638,RESIDENT_00279,EVT002,HIIT @ CC,Workout Class,2026-05-09,East,Y,Y
BKG000509,RESIDENT_00231,EVT010,Nutrition Talk,Talk,2026-04-26,North,Y,Y
BKG000048,RESIDENT_00020,EVT003,Zumba Fiesta,Workout Class,2026-05-22,Central,Y,Y
BKG003163,RESIDENT_01280,EVT004,Brisk Walk @ Park,Community Walk,2026-05-08,Central,Y,Y
BKG002908,RESIDENT_01176,EVT003,Zumba Fiesta,Workout Class,2026-04-21,North-East,Y,Y
BKG003009,RESIDENT_01219,EVT007,Weekend Cycling,Community Ride,2026-04-18,West,Y,N
BKG000683,RESIDENT_00291,EVT006,Aqua Aerobics,Workout Class,2026-04-14,West,Y,Y
BKG001682,RESIDENT_00687,EVT005,Sundays@thePark,Community Walk,2026-05-31,West,Y,Y
BKG001813,RESIDENT_00748,EVT010,Nutrition Talk,Talk,2026-06-05,East,Y,Y
BKG003265,RESIDENT_01318,EVT005,Sundays@thePark,Community Walk,2026-06-27,East,Y,N
BKG002725,RESIDENT_01108,EVT005,Sundays@thePark,Community Walk,2026-06-25,North-East,Y,Y
BKG001178,RESIDENT_00493,EVT007,Weekend Cycling,Community Ride,2026-06-26,North,Y,Y
BKG003486,RESIDENT_01423,EVT004,Brisk Walk @ Park,Community Walk,2026-04-02,Central,Y,N
BKG002093,RESIDENT_00847,EVT008,Strength & Mobility,Workout Class,2026-04-11,North,Y,Y
BKG000695,RESIDENT_00297,EVT004,Brisk Walk @ Park,Community Walk,2026-05-18,North,Y,Y
BKG002857,RESIDENT_01155,EVT006,Aqua Aerobics,Workout Class,2026-05-16,West,Y,Y
BKG001631,RESIDENT_00667,EVT004,Brisk Walk @ Park,Community Walk,2026-05-27,East,Y,Y
BKG000317,RESIDENT_00149,EVT006,Aqua Aerobics,Workout Class,2026-06-03,West,Y,Y
BKG003046,RESIDENT_01238,EVT007,Weekend Cycling,Community Ride,2026-05-18,West,Y,Y
BKG000663,RESIDENT_00284,EVT006,Aqua Aerobics,Workout Class,2026-06-20,North-East,Y,Y
BKG003584,RESIDENT_01473,EVT003,Zumba Fiesta,Workout Class,2026-05-24,Central,Y,Y
BKG000136,RESIDENT_00063,EVT008,Strength & Mobility,Workout Class,2026-06-11,West,Y,N
BKG000643,RESIDENT_00279,EVT004,Brisk Walk @ Park,Community Walk,2026-05-29,Central,Y,Y
BKG001237,RESIDENT_00515,EVT006,Aqua Aerobics,Workout Class,2026-06-16,North,Y,Y
BKG002738,RESIDENT_01112,EVT002,HIIT @ CC,Workout Class,2026-04-21,West,Y,Y
BKG001229,RESIDENT_00510,EVT006,Aqua Aerobics,Workout Class,2026-04-27,West,Y,Y
BKG002655,RESIDENT_01078,EVT010,Nutrition Talk,Talk,2026-05-12,North,Y,Y
BKG001775,RESIDENT_00734,EVT002,HIIT @ CC,Workout Class,2026-04-25,West,Y,Y
BKG001806,RESIDENT_00743,EVT006,Aqua Aerobics,Workout Class,2026-05-02,Central,Y,Y
BKG002508,RESIDENT_01010,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-12,West,Y,Y
BKG002397,RESIDENT_00957,EVT006,Aqua Aerobics,Workout Class,2026-05-09,Central,Y,N
BKG003284,RESIDENT_01329,EVT006,Aqua Aerobics,Workout Class,2026-05-04,North-East,Y,Y
BKG001673,RESIDENT_00683,EVT003,Zumba Fiesta,Workout Class,2026-05-28,North,Y,Y
BKG002137,RESIDENT_00863,EVT008,Strength & Mobility,Workout Class,2026-04-20,North,Y,Y
BKG002389,RESIDENT_00954,EVT004,Brisk Walk @ Park,Community Walk,2026-05-15,East,Y,Y
BKG003076,RESIDENT_01251,EVT002,HIIT @ CC,Workout Class,2026-05-10,North,Y,Y
BKG000456,RESIDENT_00204,EVT004,Brisk Walk @ Park,Community Walk,2026-04-07,East,Y,Y
BKG001937,RESIDENT_00793,EVT001,Sunrise Mass Workout,Mass Workout,2026-06-17,West,Y,Y
BKG002600,RESIDENT_01051,EVT005,Sundays@thePark,Community Walk,2026-06-16,North,Y,Y
BKG000229,RESIDENT_00102,EVT009,Health Screening Drive,Screening,2026-06-10,North-East,Y,Y
BKG002761,RESIDENT_01121,EVT002,HIIT @ CC,Workout Class,2026-04-14,North-East,Y,Y
BKG002461,RESIDENT_00982,EVT004,Brisk Walk @ Park,Community Walk,2026-06-04,West,Y,Y
BKG000666,RESIDENT_00286,EVT010,Nutrition Talk,Talk,2026-05-13,East,Y,Y
BKG001093,RESIDENT_00456,EVT004,Brisk Walk @ Park,Community Walk,2026-05-09,North-East,Y,Y
BKG001815,RESIDENT_00748,EVT006,Aqua Aerobics,Workout Class,2026-04-11,East,Y,N
BKG002810,RESIDENT_01141,EVT004,Brisk Walk @ Park,Community Walk,2026-06-10,East,Y,Y
BKG001980,RESIDENT_00804,EVT008,Strength & Mobility,Workout Class,2026-05-26,North,Y,Y
BKG003217,RESIDENT_01300,EVT007,Weekend Cycling,Community Ride,2026-06-26,East,Y,Y
