redemption_id,resident_id,redeemed_date,merchant,merchant_category,voucher_value_sgd,healthpoints_spent
EV000475,RESIDENT_00280,2026-05-01,Kopitiam,Food & Beverage,2,200
EV000154,RESIDENT_00089,2026-04-27,Decathlon,Sports,10,1000
EV000363,RESIDENT_00209,2026-05-01,Kopitiam,Food & Beverage,2,200
EV001714,RESIDENT_00977,2026-04-30,Watsons,Health & Beauty,10,1000
EV001443,RESIDENT_00837,2026-06-14,Kopitiam,Food & Beverage,5,500
EV002506,RESIDENT_01461,2026-04-12,NTUC FairPrice,Groceries,10,1000
EV001018,RESIDENT_00601,2026-04-19,Cold Storage,Groceries,10,1000
EV001244,RESIDENT_00736,2026-06-19,Cold Storage,Groceries,5,500
EV000927,RESIDENT_00547,2026-05-31,Kopitiam,Food & Beverage,5,500
EV001292,RESIDENT_00758,2026-05-02,Decathlon,Sports,2,200
EV000607,RESIDENT_00360,2026-05-31,Kopitiam,Food & Beverage,10,1000
EV001115,RESIDENT_00661,2026-04-02,Watsons,Health & Beauty,10,1000
EV000352,RESIDENT_00204,2026-04-21,Kopitiam,Food & Beverage,15,1500
EV001545,RESIDENT_00893,2026-05-30,Watsons,Health & Beauty,15,1500
EV000291,RESIDENT_00166,2026-05-23,Kopitiam,Food & Beverage,10,1000
EV001339,RESIDENT_00787,2026-05-02,NTUC FairPrice,Groceries,10,1000
EV002098,RESIDENT_01212,2026-04-13,Guardian,Health & Beauty,2,200
EV000690,RESIDENT_00408,2026-05-28,Kopitiam,Food & Beverage,10,1000
EV001122,RESIDENT_00665,2026-04-03,Watsons,Health & Beauty,15,1500
EV000791,RESIDENT_00462,2026-05-30,Cold Storage,Groceries,15,1500
EV002043,RESIDENT_01181,2026-06-13,Decathlon,Sports,5,500
EV002533,RESIDENT_01480,2026-04-09,NTUC FairPrice,Groceries,10,1000
EV000714,RESIDENT_00421,2026-05-06,Guardian,Health & Beauty,15,1500
EV002109,RESIDENT_01220,2026-04-11,Cold Storage,Groceries,15,1500
EV000502,RESIDENT_00293,2026-06-07,Guardian,Health & Beauty,15,1500
EV001757,RESIDENT_01009,2026-06-12,NTUC FairPrice,Groceries,5,500
EV000851,RESIDENT_00500,2026-05-14,Sheng Siong,Groceries,5,500
EV002094,RESIDENT_01211,2026-04-06,Watsons,Health & Beauty,10,1000
EV001307,RESIDENT_00771,2026-05-11,Kopitiam,Food & Beverage,10,1000
EV002379,RESIDENT_01375,2026-05-09,Kopitiam,Food & Beverage,5,500
EV002259,RESIDENT_01300,2026-04-14,Cold Storage,Groceries,10,1000
EV001207,RESIDENT_00711,2026-06-25,Watsons,Health & Beauty,10,1000
EV001993,RESIDENT_01152,2026-06-09,Sheng Siong,Groceries,5,500
EV001769,RESIDENT_01015,2026-04-20,Decathlon,Sports,10,1000
EV002268,RESIDENT_01305,2026-06-28,Sheng Siong,Groceries,5,500
EV000544,RESIDENT_00317,2026-04-14,Watsons,Health & Beauty,5,500
EV002432,RESIDENT_01406,2026-06-24,Sheng Siong,Groceries,5,500
EV000006,RESIDENT_00003,2026-05-21,Watsons,Health & Beauty,15,1500
EV001586,RESIDENT_00917,2026-06-12,Cold Storage,Groceries,5,500
EV000962,RESIDENT_00572,2026-05-28,Cold Storage,Groceries,5,500
EV001332,RESIDENT_00782,2026-06-20,NTUC FairPrice,Groceries,5,500
EV000216,RESIDENT_00127,2026-05-15,Guardian,Health & Beauty,15,1500
EV001154,RESIDENT_00683,2026-05-22,Decathlon,Sports,5,500
EV001462,RESIDENT_00849,2026-05-21,Sheng Siong,Groceries,10,1000
EV000814,RESIDENT_00472,2026-04-03,Sheng Siong,Groceries,5,500
EV001869,RESIDENT_01079,2026-04-04,Cold Storage,Groceries,10,1000
EV001832,RESIDENT_01051,2026-05-09,Watsons,Health & Beauty,10,1000
EV000388,RESIDENT_00232,2026-05-29,Kopitiam,Food & Beverage,5,500
EV001712,RESIDENT_00977,2026-04-29,Sheng Siong,Groceries,2,200
EV001729,RESIDENT_00987,2026-05-03,Guardian,Health & Beauty,10,1000
EV001872,RESIDENT_01080,2026-06-06,Decathlon,Sports,15,1500
EV001634,RESIDENT_00938,2026-04-02,NTUC FairPrice,Groceries,15,1500
EV000326,RESIDENT_00193,2026-06-01,Guardian,Health & Beauty,10,1000
EV000190,RESIDENT_00107,2026-04-26,Cold Storage,Groceries,2,200
EV002184,RESIDENT_01262,2026-04-10,Decathlon,Sports,10,1000
EV000955,RESIDENT_00567,2026-05-25,Guardian,Health & Beauty,5,500
EV002014,RESIDENT_01161,2026-06-14,Watsons,Health & Beauty,5,500
EV002020,RESIDENT_01166,2026-04-23,Decathlon,Sports,10,1000
EV000628,RESIDENT_00370,2026-05-11,Sheng Siong,Groceries,5,500
EV000572,RESIDENT_00336,2026-06-15,Kopitiam,Food & Beverage,10,1000
EV001314,RESIDENT_00775,2026-05-19,Sheng Siong,Groceries,10,1000
EV001228,RESIDENT_00722,2026-04-26,Decathlon,Sports,2,200
EV000845,RESIDENT_00499,2026-05-28,NTUC FairPrice,Groceries,5,500
EV001856,RESIDENT_01069,2026-04-12,Sheng Siong,Groceries,5,500
EV002000,RESIDENT_01155,2026-05-21,Guardian,Health & Beauty,5,500
EV000439,RESIDENT_00261,2026-04-01,Sheng Siong,Groceries,15,1500
EV002507,RESIDENT_01461,2026-05-21,Sheng Siong,Groceries,5,500
EV002340,RESIDENT_01350,2026-05-12,Decathlon,Sports,10,1000
EV001390,RESIDENT_00809,2026-05-15,Decathlon,Sports,5,500
EV000675,RESIDENT_00398,2026-05-23,Watsons,Health & Beauty,5,500
EV002055,RESIDENT_01190,2026-04-24,Kopitiam,Food & Beverage,5,500
EV001579,RESIDENT_00915,2026-05-19,Guardian,Health & Beauty,5,500
EV000748,RESIDENT_00440,2026-06-19,Guardian,Health & Beauty,5,500
EV000051,RESIDENT_00024,2026-04-20,Kopitiam,Food & Beverage,5,500
EV000777,RESIDENT_00454,2026-05-11,Kopitiam,Food & Beverage,5,500
EV001915,RESIDENT_01111,2026-05-26,NTUC FairPrice,Groceries,15,1500
EV000809,RESIDENT_00470,2026-06-12,Decathlon,Sports,10,1000
EV001882,RESIDENT_01088,2026-04-23,Kopitiam,Food & Beverage,15,1500
EV001282,RESIDENT_00755,2026-05-30,Kopitiam,Food & Beverage,2,200
EV002139,RESIDENT_01240,2026-06-13,Sheng Siong,Groceries,10,1000
EV001431,RESIDENT_00832,2026-04-24,Decathlon,Sports,15,1500
EV002392,RESIDENT_01382,2026-04-08,Watsons,Health & Beauty,10,1000
EV000815,RESIDENT_00472,2026-05-05,Decathlon,Sports,5,500
EV000704,RESIDENT_00414,2026-05-28,Cold Storage,Groceries,5,500
EV002197,RESIDENT_01267,2026-04-02,Watsons,Health & Beauty,5,500
