resident_id,log_date,meal_type,food_item,calories,healthier_choice_flag
RESIDENT_00817,2026-05-11,Dinner,Bubble tea,522,N
RESIDENT_00670,2026-06-10,Snack,Bubble tea,526,N
RESIDENT_01441,2026-05-17,Breakfast,Bubble tea,465,N
RESIDENT_00864,2026-05-26,Dinner,Chicken rice,820,N
RESIDENT_01227,2026-06-17,Dinner,Bubble tea,729,N
RESIDENT_00695,2026-06-20,Breakfast,Wholegrain cereal,382,Y
RESIDENT_00709,2026-05-28,Lunch,Thunder tea rice,265,Y
RESIDENT_01442,2026-04-02,Dinner,Salad bowl,309,Y
RESIDENT_00270,2026-04-26,Breakfast,Nasi lemak,764,N
RESIDENT_01090,2026-05-22,Snack,Nasi lemak,482,N
RESIDENT_01099,2026-05-22,Lunch,Yong tau foo (soup),,Y
RESIDENT_00425,2026-06-16,Snack,Laksa,821,N
RESIDENT_00667,2026-05-01,Dinner,Bubble tea,612,N
RESIDENT_00099,2026-04-30,Lunch,Chicken rice,746,N
RESIDENT_00420,2026-06-27,Dinner,Salad bowl,347,Y
RESIDENT_00622,2026-05-10,Breakfast,Fruit bowl,311,Y
RESIDENT_00212,2026-04-07,Breakfast,Bubble tea,577,N
RESIDENT_00961,2026-05-04,Lunch,Kopi-O (no sugar),5,Y
RESIDENT_01331,2026-05-19,Lunch,Oats & berries,151,Y
RESIDENT_00812,2026-05-14,Dinner,Fried bee hoon,727,N
RESIDENT_00657,2026-06-21,Snack,Laksa,469,N
RESIDENT_00226,2026-06-11,Dinner,Steamed fish & veg,176,Y
RESIDENT_00289,2026-06-02,Dinner,Nasi lemak,547,N
RESIDENT_00320,2026-05-21,Snack,Steamed fish & veg,340,Y
RESIDENT_00838,2026-06-27,Dinner,Oats & berries,276,Y
RESIDENT_01255,31/06/2026,Breakfast,Kopi-O (no sugar),5,Y
RESIDENT_00552,2026-05-17,Breakfast,Laksa,481,N
RESIDENT_00803,2026-05-05,Snack,Kopi-O (no sugar),5,Y
RESIDENT_01437,2026-04-06,Snack,Oats & berries,379,Y
RESIDENT_00858,2026-05-09,Lunch,Roti prata,693,N
RESIDENT_01303,2026-05-17,Dinner,Nasi lemak,481,N
RESIDENT_00446,2026-06-05,Dinner,Roti prata,602,N
RESIDENT_00382,2026-04-03,Breakfast,Fried bee hoon,700,N
RESIDENT_00335,2026-04-05,Lunch,Nasi lemak,734,N
RESIDENT_00049,2026-05-09,Dinner,Yong tau foo (soup),203,Y
RESIDENT_00717,2026-04-29,Lunch,Yong tau foo (soup),378,Y
RESIDENT_00489,2026-05-14,Breakfast,Wholegrain cereal,247,Y
RESIDENT_00814,2026-05-18,Snack,Fruit bowl,356,Y
RESIDENT_00548,2026-05-25,Breakfast,Bubble tea,714,N
