resident_id,age_band,gender,region,planning_area
RESIDENT_00001,18-29,M,Central,Bishan
RESIDENT_00002,50-59,F,Central,Bukit Merah
RESIDENT_00003,18-29,F,Central,Bukit Merah
RESIDENT_00004,30-39,M,West,Jurong West
RESIDENT_00005,60-69,F,Central,Bukit Merah
RESIDENT_00006,30-39,M,North,Woodlands
RESIDENT_00007,30-39,M,Central,Bukit Merah
RESIDENT_00008,40-49,M,North-East,Hougang
RESIDENT_00009,60-69,M,West,Bukit Batok
RESIDENT_00010,50-59,M,Central,Bishan
RESIDENT_00011,40-49,M,Central,Bukit Merah
RESIDENT_00012,40-49,F,East,Pasir Ris
RESIDENT_00013,50-59,F,West,Jurong West
RESIDENT_00014,70+,F,North,Sembawang
RESIDENT_00015,60-69,M,East,Tampines
RESIDENT_00016,70+,M,East,Bedok
RESIDENT_00017,60-69,M,North-East,Hougang
RESIDENT_00018,50-59,M,East,Pasir Ris
RESIDENT_00019,40-49,F,West,Jurong West
RESIDENT_00020,60-69,F,Central,Bishan
RESIDENT_00021,50-59,M,North-East,Punggol
RESIDENT_00022,30-39,F,West,Bukit Batok
RESIDENT_00023,60-69,M,West,Jurong West
RESIDENT_00024,40-49,M,East,Pasir Ris
RESIDENT_00025,70+,M,West,Bukit Batok
RESIDENT_00026,40-49,F,East,Pasir Ris
RESIDENT_00027,50-59,M,Central,Bishan
RESIDENT_00028,30-39,F,North,Sembawang
RESIDENT_00029,60-69,F,North-East,Hougang
RESIDENT_00030,30-39,M,West,Jurong West
RESIDENT_00031,40-49,M,North,Yishun
RESIDENT_00032,30-39,F,Central,Toa Payoh
RESIDENT_00033,50-59,F,East,Bedok
RESIDENT_00034,18-29,F,East,Tampines
RESIDENT_00035,30-39,M,East,Bedok
RESIDENT_00036,50-59,F,West,Clementi
RESIDENT_00037,18-29,M,East,Tampines
RESIDENT_00038,60-69,F,North-East,Sengkang
RESIDENT_00039,40-49,M,Central,Bishan
RESIDENT_00040,40-49,F,East,Tampines
RESIDENT_00041,30-39,F,North-East,Punggol
RESIDENT_00042,18-29,F,Central,Bishan
RESIDENT_00043,40-49,M,East,Bedok
RESIDENT_00044,30-39,F,Central,Toa Payoh
RESIDENT_00045,40-49,M,North,Woodlands
RESIDENT_00046,70+,F,East,Pasir Ris
RESIDENT_00047,50-59,F,Central,Bishan
RESIDENT_00048,18-29,F,East,Pasir Ris
RESIDENT_00049,18-29,F,North-East,Sengkang
RESIDENT_00050,18-29,M,West,Clementi
RESIDENT_00051,30-39,F,East,Pasir Ris
RESIDENT_00052,30-39,F,North-East,Hougang
RESIDENT_00053,18-29,F,Central,Bukit Merah
RESIDENT_00054,60-69,F,North,Yishun
RESIDENT_00055,60-69,M,North-East,Sengkang
RESIDENT_00056,50-59,M,Central,Bukit Merah
RESIDENT_00057,18-29,F,North,Sembawang
RESIDENT_00058,30-39,F,North,Sembawang
RESIDENT_00059,40-49,M,North,Woodlands
RESIDENT_00060,18-29,M,North,Woodlands
RESIDENT_00061,50-59,M,East,Pasir Ris
RESIDENT_00062,70+,F,Central,Bukit Merah
RESIDENT_00063,40-49,M,West,Jurong West
RESIDENT_00064,60-69,F,North,Yishun
RESIDENT_00065,30-39,M,Central,Bukit Merah
RESIDENT_00066,60-69,F,East,Tampines
RESIDENT_00067,60-69,M,North,Sembawang
RESIDENT_00068,30-39,F,North,Yishun
RESIDENT_00069,30-39,M,North-East,Punggol
RESIDENT_00070,18-29,F,East,Tampines
RESIDENT_00071,70+,M,Central,Toa Payoh
RESIDENT_00072,50-59,M,North-East,Hougang
RESIDENT_00073,50-59,M,East,Bedok
RESIDENT_00074,50-59,M,North,Yishun
RESIDENT_00075,40-49,F,Central,Toa Payoh
RESIDENT_00076,40-49,F,Central,Toa Payoh
RESIDENT_00077,50-59,F,North,Sembawang
RESIDENT_00078,50-59,M,North,Yishun
RESIDENT_00079,18-29,M,West,Bukit Batok
RESIDENT_00080,40-49,M,West,Bukit Batok
RESIDENT_00081,30-39,M,North,Sembawang
RESIDENT_00082,40-49,F,North-East,Sengkang
RESIDENT_00083,30-39,M,Central,Bishan
